query,expected_category,n_results,top1,precision_at_3,category_match
ма,молочные продукты,5,Макароны твёрдых сортов,0.0,False
масло сл,масла и жиры,5,Масло сливочное 72.5%,1.0,True
масло сливочное,масла и жиры,5,Масло сливочное 72.5%,1.0,True
масло раст,масла и жиры,5,Масло подсолнечное рафинированное,1.0,True
масло раст 10л,масла и жиры,5,Масло подсолнечное рафинированное,1.0,True
prosecco rose,вино,1,Prosecco Rose,1.0,True
riesling,вино,1,Riesling Mosel,1.0,True
pro,вино,1,Prosecco Rose,1.0,True
xfq,чай,3,Чай чёрный листовой,1.0,True
vfckj,масла и жиры,5,Масло сливочное 82.5%,1.0,True
чай,чай,3,Чай чёрный листовой,1.0,True
чай зе,чай,3,Чай зелёный молодой,1.0,True
творог,молочные продукты,1,Творог зернистый 5%,1.0,True
кефир,молочные продукты,1,Кефир 1%,1.0,True
йогурт,молочные продукты,1,Йогурт натуральный,1.0,True
сливочное,масла и жиры,2,Масло сливочное 82.5%,1.0,True
cheddar,сыр,1,Cheddar 5kg,1.0,True
cheddar 5kg,сыр,5,Молоко коровье 3.2%,0.0,False
сыр,сыр,2,Сыр Пармезан,1.0,True
паста,макаронные изделия,2,Макароны твёрдых сортов,1.0,True
спагетти,макаронные изделия,1,Спагетти,1.0,True
колба,колбасные изделия,3,Салями острая,1.0,True
ветчина,колбасные изделия,2,Ветчина вареная,1.0,True
прошутто,колбасные изделия,1,Прошутто нарезанное,1.0,True
молоко,молочные продукты,2,Молоко коровье 3.2%,1.0,True
мол,молочные продукты,5,Молоко коровье 3.2%,1.0,True
мо,молочные продукты,5,Молоко коровье 3.2%,1.0,True
кл,молочные продукты,0,,0.0,False
гкщыуссщ,вино,0,,0.0,False
оливковое,масла и жиры,1,Масло оливковое Extra Virgin,1.0,True
